,BEGIN_LAT,BEGIN_LON,MONTH_NAME,TOR_F_SCALE
0,44.37,-92.63,June,F1
1,42.08,-71.4,May,F0
2,41.1,-98.47,June,F0
3,41.52,-97.73,June,F0
4,40.25,-100.75,June,F4
5,40.62,-100.07,June,F0
6,40.62,-100.07,June,F0
7,40.05,-97.5,June,F1
8,40.98,-99.12,June,F1
9,41.2,-98.85,June,F0
10,42.68,-98.65,June,F0
11,42.43,-98.73,June,F0
12,40.08,-99.32,June,F0
13,40.03,-99.43,June,F1
14,40.1,-99.15,June,F1
15,41.37,-98.85,June,F1
16,40.33,-98.22,June,F0
17,34.47,-104.03,May,F0
18,41.7,-97.7,June,F0
19,41.63,-97.9,June,F0
20,40.15,-101.23,June,F4
21,40.07,-98.65,June,F0
22,37.03,-95.95,May,F0
23,42.57,-91.0,March,F1
24,33.2,-91.27,September,F0
25,33.18,-101.58,May,F0
26,40.7,-91.32,March,F0
27,37.02,-95.1,March,F1
28,37.98,-97.65,April,F0
29,37.98,-97.17,April,F0
30,37.4,-98.23,April,F1
31,37.57,-98.12,April,F0
32,38.35,-96.18,June,F0
33,39.4,-99.03,April,F1
34,38.78,-99.55,April,F3
35,39.58,-98.93,April,F1
36,38.83,-95.63,May,F0
37,38.48,-97.37,May,F3
38,37.82,-95.4,May,F0
39,37.6,-100.52,April,F1
40,38.4,-99.9,April,F0
41,38.77,-100.48,April,F0
42,38.62,-99.73,April,F3
43,39.23,-99.22,April,F1
44,38.68,-99.7,April,F3
45,37.65,-101.45,June,F2
46,41.75,-103.33,July,F0
47,39.33,-74.48,October,F0
48,38.52,-97.9,May,F3
49,38.83,-94.88,June,F0
50,38.5,-98.18,May,F3
51,38.38,-99.18,May,F0
52,38.45,-99.0,May,F0
53,38.45,-98.55,May,F3
54,38.48,-98.45,May,F3
55,38.53,-98.42,May,F3
56,40.43,-97.53,June,F1
57,40.28,-98.82,June,F0
58,40.48,-98.68,June,F0
59,40.4,-98.45,June,F2
60,40.35,-98.95,June,F0
61,40.33,-98.5,June,F1
62,40.58,-98.52,June,F0
63,42.32,-103.33,July,F0
64,42.8,-102.35,July,F0
65,40.82,-98.93,July,F1
66,40.48,-74.77,October,F3
67,40.13,-74.68,October,F1
68,40.65,-74.27,October,F0
69,41.82,-97.48,June,F1
70,40.23,-97.85,June,F1
71,40.72,-102.03,June,F0
72,41.2,-97.9,June,F1
73,41.57,-97.37,June,F0
74,40.02,-79.08,June,F0
75,36.73,-108.2,September,F0
76,36.02,-99.83,April,F2
77,42.02,-78.83,August,F0
78,42.5,-76.87,August,F2
79,34.88,-97.72,March,F2
80,34.93,-97.65,March,F2
81,36.73,-97.98,March,F3
82,35.08,-97.4,March,F2
83,34.97,-97.6,March,F2
84,35.22,-97.35,March,F1
85,36.95,-97.83,March,F3
86,35.3,-97.23,March,F2
87,35.05,-97.37,March,F2
88,42.18,-74.78,June,F1
89,47.47,-98.15,August,F0
90,42.1,-84.55,June,F1
91,42.32,-84.08,June,F2
92,42.38,-85.4,June,F0
93,35.03,-82.08,April,F1
94,35.07,-81.55,April,F1
95,31.78,-90.5,December,F0
96,32.05,-90.35,December,F0
97,43.52,-85.65,June,F1
98,38.87,-84.18,June,F2
99,42.15,-79.22,August,F0
100,39.57,-97.57,June,F1
101,38.53,-93.53,June,F1
102,41.0,-99.52,June,F0
103,40.58,-82.62,June,F2
104,40.15,-82.68,June,F1
105,39.77,-81.18,June,F0
106,41.03,-74.82,August,F0
107,41.15,-74.42,August,F0
108,32.57,-104.43,July,F0
109,39.4,-83.98,June,F0
110,39.95,-80.27,July,F1
111,47.35,-102.27,June,F0
112,36.38,-89.35,July,F0
113,43.07,-76.27,August,F0
114,43.0,-75.17,August,F1
115,40.42,-75.17,July,F1
116,35.08,-106.57,July,F0
117,32.42,-104.32,July,F0
118,36.18,-104.7,July,F0
119,33.12,-104.75,July,F0
120,40.75,-98.73,July,F0
121,40.82,-98.65,July,F0
122,41.35,-102.98,May,F0
123,41.22,-102.3,May,F0
124,33.58,-80.78,October,F2
125,34.52,-78.45,July,F2
126,36.55,-96.73,June,F0
127,43.58,-86.2,September,F1
128,43.28,-85.57,September,F1
129,43.25,-85.35,September,F1
130,43.1,-85.28,September,F1
131,42.48,-83.47,September,F3
132,42.73,-83.53,September,F1
133,43.0,-82.42,September,F1
134,41.77,-75.03,October,F1
135,41.12,-74.15,October,F0
136,30.18,-93.57,October,F0
137,29.8,-90.83,December,F1
138,39.58,-76.62,June,F0
139,39.77,-98.85,June,F0
140,36.53,-96.72,June,F0
141,36.42,-96.57,June,F1
142,31.47,-91.72,September,F1
143,42.33,-83.47,September,F0
144,33.18,-89.93,December,F3
145,31.78,-93.82,April,F1
146,32.08,-93.98,April,F1
147,38.15,-97.08,June,F0
148,37.78,-97.95,June,F2
149,32.52,-93.72,April,F1
150,32.52,-93.72,April,F1
151,32.05,-93.68,April,F1
152,32.43,-93.3,April,F1
153,32.37,-93.37,April,F1
154,30.75,-93.53,April,F1
155,30.82,-93.28,April,F1
156,38.48,-100.62,June,F0
157,39.3,-98.4,June,F0
158,47.42,-101.38,July,F0
159,40.53,-82.55,July,F0
160,36.93,-101.08,April,F1
161,45.17,-93.83,July,F0
162,47.12,-101.58,June,F2
163,46.08,-94.98,August,F0
164,35.77,-89.8,February,F1
165,35.27,-86.13,February,F1
166,35.28,-85.98,February,F1
167,35.35,-88.82,April,F1
168,34.27,-97.75,March,F3
169,34.28,-97.73,March,F3
170,34.38,-97.58,March,F3
171,34.52,-97.43,March,F3
172,34.5,-97.45,March,F2
173,35.7,-96.23,March,F2
174,38.03,-96.63,June,F0
175,38.08,-96.88,June,F1
176,37.9,-97.37,June,F0
177,37.9,-97.78,June,F1
178,34.7,-76.55,September,F2
179,34.98,-80.68,October,F3
180,34.98,-79.13,October,F0
181,35.5,-78.82,October,F1
182,35.55,-78.77,October,F1
183,34.78,-76.85,October,F1
184,35.23,-80.85,November,F1
185,39.43,-75.13,May,F0
186,39.48,-75.03,May,F2
187,34.17,-98.1,March,F1
188,35.38,-97.15,March,F2
189,35.45,-97.02,March,F2
190,34.28,-97.82,March,F1
191,39.35,-98.18,June,F0
192,33.28,-79.95,August,F0
193,38.33,-75.62,May,F1
194,38.37,-75.55,May,F0
195,38.38,-75.35,May,F1
196,39.47,-77.57,May,F1
197,39.3,-76.0,May,F0
198,45.27,-95.47,April,F0
199,45.3,-95.6,April,F0
200,34.0,-78.35,May,F1
201,36.37,-77.17,May,F0
202,40.0,-100.88,April,F0
203,41.53,-103.28,May,F0
204,41.53,-103.28,May,F0
205,41.67,-102.98,May,F0
206,41.58,-102.33,May,F0
207,38.83,-91.02,August,F1
208,35.88,-98.22,May,F1
209,35.48,-98.27,May,F1
210,30.68,-92.27,September,F1
211,42.18,-75.12,June,F0
212,42.57,-71.98,August,F0
213,42.65,-83.75,September,F0
214,38.87,-95.68,June,F0
215,38.8,-95.57,June,F0
216,38.75,-95.6,June,F1
217,38.33,-96.27,June,F2
218,38.8,-95.67,June,F0
219,38.07,-98.33,March,F0
220,38.23,-98.3,March,F1
221,33.62,-86.62,February,F1
222,33.68,-86.45,February,F1
223,38.18,-96.72,May,F0
224,38.48,-96.68,May,F0
225,38.02,-97.67,May,F0
226,38.0,-97.28,May,F1
227,37.77,-98.02,March,F5
228,39.82,-98.78,March,F1
229,42.1,-103.0,August,F0
230,39.32,-102.23,August,F1
231,39.3,-102.8,August,F0
232,39.83,-98.42,March,F1
233,37.93,-97.72,March,F5
234,38.15,-97.43,March,F5
235,38.17,-97.38,March,F5
236,38.18,-97.42,March,F5
237,38.22,-97.33,March,F5
238,37.05,-97.33,March,F0
239,37.0,-97.72,March,F3
240,37.4,-97.65,March,F0
241,39.33,-102.22,August,F0
242,36.6,-90.27,May,F2
243,37.12,-93.2,May,F2
244,37.12,-93.08,May,F2
245,31.78,-86.35,January,F1
246,33.25,-87.87,February,F0
247,33.25,-87.8,February,F0
248,33.3,-87.62,February,F1
249,33.52,-87.05,February,F1
250,33.62,-86.82,February,F1
251,43.92,-94.55,July,F0
252,43.82,-94.53,July,F0
253,41.67,-96.93,August,F0
254,41.53,-96.38,August,F0
255,41.57,-96.37,August,F1
256,32.6,-88.18,February,F0
257,32.38,-93.87,May,F1
258,32.7,-93.77,May,F1
259,32.78,-93.73,May,F1
260,32.68,-93.72,May,F1
261,32.3,-93.82,May,F1
262,41.88,-83.73,August,F1
