,BEGIN_LAT,BEGIN_LON,MONTH_NAME,TOR_F_SCALE
0,46.6,-112.0,July,F0
1,35.12,-97.05,May,F3
2,34.42,-82.0,March,F2
3,34.18,-101.72,May,F0
4,40.35,-88.52,June,F2
5,41.6,-88.22,April,
6,37.55,-96.77,July,F0
7,36.9,-94.87,February,F1
8,36.93,-95.17,February,F1
9,27.78,-97.42,April,F1
10,34.7,-96.8,January,F2
11,46.87,-68.02,August,F1
12,35.2,-106.0,September,F0
13,29.6,-96.95,May,F1
14,34.63,-102.72,April,F2
15,34.32,-102.73,April,F1
16,34.35,-102.3,April,F3
17,30.82,-102.93,April,F2
18,35.8,-98.35,April,F0
19,35.25,-98.33,April,F3
20,35.17,-97.95,April,F2
21,35.18,-97.85,April,F2
22,35.18,-97.95,April,F2
23,35.22,-97.95,April,F3
24,35.3,-97.83,April,F3
25,35.42,-97.55,April,F3
26,43.32,-100.65,May,F0
27,45.35,-99.33,May,F0
28,44.63,-97.62,May,F0
29,38.9,-90.52,June,F0
30,46.7,-100.2,July,F0
31,47.25,-100.1,July,F0
32,47.0,-97.2,July,F2
33,48.8,-101.5,July,F0
34,46.0,-99.9,July,
35,46.8,-99.9,July,
36,47.1,-102.9,August,
37,46.9,-99.3,August,F2
38,48.3,-101.3,August,F2
39,46.5,-103.3,August,
40,48.4,-97.4,August,
41,46.3,-97.0,August,F2
42,46.4,-97.7,August,
43,36.52,-100.8,June,
44,36.05,-96.05,July,
45,36.02,-95.37,July,
46,36.35,-97.9,July,F2
47,36.53,-95.92,May,
48,34.5,-99.2,May,
49,36.97,-94.8,August,F3
50,34.7,-96.4,September,
51,34.9,-98.25,May,F0
52,35.67,-98.95,May,F1
53,35.8,-94.85,November,F2
54,33.5,-97.55,June,F0
55,36.5,-100.87,June,F1
56,36.5,-100.8,June,F1
57,29.13,-96.22,June,F1
58,29.25,-97.22,June,F0
59,31.18,-94.77,June,F2
60,34.07,-95.7,May,F4
