,BEGIN_LAT,BEGIN_LON,MONTH_NAME,TOR_F_SCALE
0,40.42,-92.57,October,F1
1,39.57,-100.45,June,F3
2,32.37,-99.0,June,F1
3,34.47,-99.75,May,F0
4,34.45,-99.77,May,F0
5,34.43,-99.7,May,F0
6,35.42,-96.37,May,F0
7,47.43,-100.02,July,F1
8,47.9,-102.1,July,F1
9,48.8,-98.6,August,F1
10,42.03,-97.42,June,F2
11,40.17,-96.17,June,F1
12,35.42,-97.68,April,F2
13,35.97,-97.23,April,F2
14,36.0,-96.6,April,F1
15,36.37,-95.05,May,F1
16,47.0,-98.8,June,F1
17,47.2,-98.0,August,F1
18,46.4,-97.88,August,F2
19,46.4,-97.7,September,F1
20,39.48,-83.65,May,F1
21,40.55,-82.93,May,F2
22,40.43,-83.12,May,F1
23,40.28,-83.78,May,F2
24,35.3,-98.8,June,F1
25,47.97,-92.92,September,F0
26,33.2,-103.32,April,F1
27,34.7,-103.9,April,F2
28,33.5,-103.1,April,F0
29,33.4,-103.7,May,F0
30,33.4,-104.33,May,F0
31,32.85,-103.6,May,F1
32,32.53,-103.9,May,F0
33,33.27,-106.38,July,F0
34,33.68,-90.73,March,F1
35,39.72,-92.48,June,F2
36,35.6,-95.6,April,F0
37,36.27,-98.57,April,F0
38,36.22,-98.03,April,F0
39,36.25,-98.15,April,F3
40,36.52,-89.6,July,F2
41,36.7,-91.4,July,F3
42,35.48,-88.8,April,F2
43,36.25,-85.93,April,F1
44,36.62,-93.35,August,F1
45,35.45,-95.5,September,F0
46,35.5,-95.52,September,F0
47,35.07,-97.28,October,F2
48,34.73,-96.73,April,F2
49,33.5,-90.32,April,F2
50,33.85,-89.32,April,F1
51,34.72,-89.0,April,F4
52,34.82,-88.75,April,F4
53,34.98,-90.05,April,F3
54,32.77,-89.22,October,F1
55,34.7,-88.6,October,F1
56,31.82,-90.02,December,
57,30.32,-89.37,December,F1
58,41.9,-80.38,July,F1
59,41.83,-79.38,July,F1
60,34.57,-99.42,April,F2
61,35.13,-98.08,April,F2
62,35.23,-98.0,April,F2
63,35.72,-97.42,April,F2
64,32.43,-89.47,August,
65,31.4,-90.0,September,
66,32.0,-89.7,October,F2
67,32.58,-89.33,October,F1
68,33.48,-89.68,October,
69,32.58,-89.33,October,F2
70,31.97,-89.77,October,
71,32.77,-89.03,October,F0
72,39.35,-83.5,April,F2
73,40.12,-82.92,April,F2
74,40.4,-82.48,April,F2
75,41.3,-81.5,April,F1
76,41.43,-84.2,May,F2
77,39.65,-82.97,September,F3
78,41.1,-81.9,September,
79,40.5,-82.75,May,F2
80,35.43,-96.27,June,F2
81,34.48,-96.62,June,F1
82,34.6,-96.57,June,F2
83,36.62,-95.15,June,F2
84,35.25,-95.5,June,F2
85,35.68,-94.77,June,F3
86,42.7,-84.6,April,F1
87,35.1,-89.8,June,F1
88,36.53,-87.53,July,F1
89,35.85,-88.4,November,F1
90,38.02,-92.75,May,F2
91,37.02,-89.5,May,F0
92,36.95,-93.45,June,F1
93,40.8,-114.2,May,
94,34.87,-91.18,August,
95,37.25,-90.95,April,F2
96,37.4,-90.5,April,F1
97,36.65,-89.3,April,F0
98,36.9,-89.53,April,F1
99,37.0,-85.6,September,F1
100,37.7,-86.9,November,F2
101,47.5,-95.58,June,F1
102,33.42,-111.77,September,F1
103,42.55,-71.53,October,F3
104,41.6,-70.9,August,F2
105,42.5,-84.68,April,F1
106,38.3,-85.6,April,F1
107,42.05,-71.2,August,F1
108,42.73,-72.67,August,F1
109,42.07,-72.6,October,F1
110,42.33,-72.17,October,F3
111,44.4,-96.35,June,F1
112,41.87,-98.08,August,F2
113,40.85,-99.75,August,
114,32.75,-111.47,August,
115,36.58,-90.6,April,F3
116,36.6,-90.6,April,F3
117,33.9,-93.9,April,F2
118,36.47,-94.02,April,F1
119,40.42,-93.98,April,F2
120,36.93,-88.53,April,F1
121,35.55,-90.73,April,F2
122,35.0,-90.45,April,F3
123,38.22,-84.6,April,F3
124,37.03,-88.33,April,F3
125,37.05,-88.3,April,F3
126,37.08,-88.23,April,F3
127,35.38,-92.22,April,F2
128,35.15,-92.43,April,F2
129,35.7,-91.97,April,
130,35.27,-91.88,April,F2
131,35.93,-91.75,April,F2
132,35.93,-94.52,June,F3
133,36.2,-94.1,June,F3
134,43.9,-70.7,October,
135,44.8,-69.4,October,F1
136,42.17,-79.4,July,
137,39.8,-81.9,September,F1
138,41.5,-82.0,September,
139,41.5,-82.7,September,F0
140,40.28,-81.68,September,F2
141,43.2,-75.05,June,
142,45.32,-84.62,October,F0
143,32.78,-79.98,May,F1
144,30.32,-89.4,February,F1
145,30.37,-89.08,February,F0
146,30.32,-89.23,February,F2
147,35.0,-80.4,August,F1
148,35.0,-106.6,March,F0
149,35.1,-103.63,March,F1
150,33.1,-103.48,April,F1
151,45.9,-99.8,June,
152,45.6,-100.0,June,F0
153,45.1,-100.3,July,F2
154,35.9,-79.98,August,F1
155,45.32,-100.02,July,F1
156,44.5,-96.7,July,
157,41.2,-101.63,June,F2
158,42.25,-102.97,July,
159,40.48,-96.88,July,F2
160,34.48,-97.97,June,F1
161,35.93,-97.03,June,F1
162,34.5,-97.17,June,F2
163,35.8,-96.1,June,F0
164,35.12,-89.8,April,F2
165,35.0,-88.38,April,F4
166,38.95,-92.0,September,F1
167,40.08,-93.27,September,F1
168,35.6,-89.07,June,F1
169,35.33,-96.93,October,F4
170,35.1,-97.15,October,F2
171,35.47,-96.72,October,F4
172,35.52,-96.62,October,F4
173,34.0,-94.83,October,F0
174,34.63,-96.85,October,F1
175,34.68,-96.68,October,F1
176,34.0,-96.4,October,F1
177,35.18,-94.67,October,F1
178,35.0,-95.75,October,F1
179,44.8,-96.7,April,F1
180,43.4,-98.0,May,F0
181,44.4,-97.5,May,F0
182,34.78,-90.97,November,F3
183,40.73,-99.35,June,F1
184,32.32,-90.58,July,
185,33.12,-89.98,April,F1
186,34.28,-89.4,May,F2
187,40.18,-92.05,May,F2
188,37.42,-89.62,May,F0
189,33.77,-88.57,May,F1
190,33.33,-90.98,June,
191,40.37,-92.55,May,F0
192,48.4,-105.85,August,F1
193,35.97,-94.48,November,F2
194,36.17,-94.53,November,F2
195,34.23,-91.75,November,F2
196,34.27,-91.73,November,F2
197,30.6,-87.88,June,F2
198,38.65,-93.23,June,F1
199,38.37,-92.57,June,F1
200,34.1,-86.87,June,F2
201,31.63,-87.85,July,F0
202,34.55,-86.87,August,F1
203,45.47,-95.8,April,F1
204,43.7,-92.72,April,F1
205,43.82,-92.67,April,F1
206,43.97,-93.55,April,F2
207,41.28,-96.95,June,F2
208,42.45,-98.48,June,
209,31.15,-90.28,June,F1
210,37.47,-102.7,August,F0
211,37.33,-108.82,September,F1
212,42.7,-73.2,June,F1
213,38.83,-90.28,June,F1
214,39.28,-93.5,June,F0
215,39.47,-93.55,June,F1
216,39.38,-93.25,June,F0
217,39.55,-92.88,June,F4
218,39.73,-92.48,June,F3
219,39.95,-92.22,June,F2
220,39.98,-91.78,June,F2
221,39.15,-91.83,June,F3
222,39.28,-91.07,June,F2
223,39.38,-90.78,June,F1
224,38.45,-102.7,June,F0
225,39.17,-103.43,July,F0
226,42.67,-71.7,July,F1
227,46.05,-95.35,July,F2
228,45.75,-94.25,July,F2
229,42.0,-72.7,October,F1
230,45.28,-93.2,July,F1
231,36.63,-90.53,March,F1
232,36.03,-89.92,March,F1
233,36.68,-89.3,April,F2
234,37.52,-102.63,July,F0
