,BEGIN_LAT,BEGIN_LON,MONTH_NAME,TOR_F_SCALE
0,30.28,-87.68,November,F0
1,38.4,-91.32,April,F2
2,30.4,-88.23,May,F0
3,31.07,-87.87,May,F1
4,30.28,-87.68,May,F1
5,30.88,-88.27,April,F1
6,31.07,-88.03,April,F1
7,30.68,-88.2,April,F1
8,30.88,-87.78,April,F2
9,30.7,-88.08,April,F1
10,32.6,-85.45,April,F2
11,33.33,-86.95,April,F2
12,32.97,-87.08,March,F1
13,31.2,-85.63,March,F2
14,31.7,-87.78,March,F1
15,31.65,-87.7,March,F1
16,33.42,-87.2,March,F1
17,33.17,-86.25,March,F2
18,31.03,-86.1,April,F2
19,34.08,-86.17,April,F2
20,35.65,-99.98,May,F2
21,26.63,-80.17,June,F1
22,36.42,-94.8,April,F2
23,45.17,-83.32,April,F0
24,33.02,-84.5,May,F1
25,38.12,-87.5,June,F1
26,34.5,-101.87,May,F2
27,30.25,-81.75,March,F1
28,32.72,-102.85,September,F0
29,39.53,-79.9,June,F3
30,39.93,-74.75,June,F1
31,42.22,-84.8,May,F1
32,42.22,-84.6,May,F0
33,42.15,-84.0,June,F1
34,41.88,-86.25,June,F1
35,42.57,-73.97,July,F0
36,30.32,-92.05,October,F2
37,45.95,-102.2,June,
38,45.95,-102.2,June,
39,45.95,-102.2,June,
40,45.95,-102.2,June,
41,45.95,-102.2,June,
42,45.95,-102.32,June,F0
43,34.05,-96.38,April,F2
44,44.0,-94.65,June,F0
45,44.58,-103.35,July,F0
46,44.62,-103.33,July,F0
47,43.22,-102.57,June,F0
48,44.5,-96.93,June,F0
49,45.67,-101.53,June,F0
50,45.67,-101.53,June,F0
51,43.43,-103.48,July,
52,41.85,-103.33,June,F1
53,44.12,-98.1,June,F0
54,35.42,-99.42,April,F1
55,36.6,-101.2,August,F1
56,36.97,-101.02,August,F1
57,34.65,-99.27,March,F2
58,42.37,-83.63,April,F1
59,43.1,-84.52,April,F1
60,42.87,-97.38,May,F0
61,42.87,-97.38,May,F0
62,44.35,-98.27,June,F0
63,32.75,-81.25,March,F1
64,34.38,-82.75,April,F2
65,34.57,-82.42,April,F2
66,33.87,-80.88,May,F1
67,34.03,-80.08,May,F0
68,34.23,-80.1,May,F2
69,34.65,-81.87,May,F2
70,43.25,-75.3,July,F1
71,43.47,-101.5,June,F0
72,43.47,-101.5,June,F0
73,43.47,-101.3,June,F0
74,43.47,-101.3,June,F0
75,43.47,-101.5,June,F0
76,43.43,-101.25,June,F0
77,45.95,-102.2,June,
78,45.95,-102.2,June,
79,34.23,-99.1,April,
80,42.22,-86.22,May,F3
81,42.3,-85.72,May,F3
82,43.6,-85.87,May,F1
83,46.72,-88.47,September,F0
84,46.28,-88.08,September,F0
85,42.38,-83.75,August,F1
86,36.85,-100.05,May,F0
87,41.87,-101.77,June,F0
88,35.18,-98.7,May,F0
89,41.77,-97.17,June,F1
90,35.62,-97.07,May,F0
91,35.65,-96.82,May,F2
92,39.95,-75.62,July,F1
93,40.47,-100.92,October,F1
94,41.02,-100.82,October,F0
95,41.4,-99.7,October,F0
96,40.75,-98.3,October,F1
97,40.8,-98.27,October,F1
98,30.9,-89.45,March,F1
99,32.73,-89.07,March,F1
100,33.03,-90.87,March,F1
101,33.57,-88.5,March,F1
102,34.7,-90.13,April,F2
103,34.92,-88.52,April,F2
104,31.48,-90.58,April,F1
105,30.23,-89.62,April,F2
106,30.37,-89.1,April,F3
107,43.58,-93.93,May,F1
108,41.57,-83.63,January,F0
109,41.57,-83.63,April,F1
110,40.63,-84.2,April,F1
111,39.75,-84.53,April,F1
112,39.53,-84.38,April,F2
113,39.98,-84.55,April,F2
114,38.82,-84.2,April,F1
115,40.78,-84.2,April,F1
116,40.8,-84.05,April,F1
117,44.35,-95.97,July,F0
118,39.23,-82.27,May,F1
119,29.17,-91.1,March,F0
120,32.75,-91.4,March,F1
121,32.8,-91.33,March,F1
122,32.33,-93.92,April,F2
123,32.42,-93.9,April,F0
124,30.38,-89.45,May,F1
125,30.37,-89.15,May,F3
126,41.02,-83.68,July,F2
127,40.92,-84.05,April,F1
128,41.28,-83.48,April,F2
129,38.87,-83.18,April,F1
130,41.65,-83.47,April,F2
131,39.92,-82.75,July,F1
132,33.23,-89.15,April,F1
133,44.27,-96.13,May,F0
134,29.65,-90.53,May,F1
135,44.1,-94.2,August,F2
136,41.4,-102.2,October,F2
137,31.7,-89.4,October,F2
138,40.98,-104.27,May,F1
139,39.47,-102.23,May,F1
140,40.63,-107.05,May,F1
141,37.92,-106.37,June,F1
142,38.35,-103.67,June,F1
143,43.53,-93.28,May,F1
144,43.62,-92.98,May,F1
145,34.1,-94.33,April,F0
146,40.63,-104.78,May,F1
147,32.92,-91.45,October,F2
148,43.97,-91.85,June,F2
149,44.0,-92.43,June,F1
150,40.87,-98.42,August,F1
151,34.92,-91.97,April,F1
152,35.27,-91.53,April,F1
153,34.87,-92.2,April,F2
154,33.97,-94.17,April,F0
155,34.12,-94.07,April,F0
156,48.55,-111.0,May,F1
157,48.53,-110.42,May,F1
158,48.17,-107.43,May,F1
159,47.55,-111.33,May,F0
160,47.78,-110.95,June,F1
161,46.27,-106.67,June,F1
162,40.02,-105.08,April,F1
163,38.13,-104.45,May,F1
164,37.2,-105.67,May,F1
165,39.6,-104.23,May,F1
166,40.78,-105.0,May,F1
167,38.62,-102.7,March,F1
168,40.23,-97.6,June,F2
169,41.02,-98.4,June,F3
170,40.95,-98.37,June,F1
171,40.97,-98.35,June,F3
172,40.93,-98.35,June,F3
173,40.88,-98.3,June,F1
174,40.87,-98.32,June,F1
175,40.48,-97.48,May,F1
176,39.68,-104.3,June,F1
177,37.83,-104.13,June,F1
178,37.78,-103.98,June,F1
179,40.7,-104.7,June,F1
180,43.88,-92.87,June,F0
181,33.08,-90.98,October,F2
182,39.52,-103.72,June,F1
183,33.58,-91.08,October,F2
184,33.2,-90.67,October,F2
185,31.77,-89.98,April,F2
186,31.88,-89.67,April,F2
187,31.97,-89.32,April,F2
188,32.85,-90.9,October,F1
189,33.37,-90.27,October,F2
190,32.78,-90.17,October,F2
191,32.53,-90.28,October,F2
192,32.82,-90.0,October,F2
193,33.43,-89.57,October,F2
194,41.85,-103.43,June,F1
195,40.92,-98.3,June,F4
196,40.92,-98.35,June,F4
197,40.9,-98.35,June,F4
198,40.9,-98.28,June,F2
199,40.9,-98.3,June,F2
200,31.28,-85.45,September,F1
201,34.77,-91.9,April,F2
202,30.82,-92.08,October,F1
203,40.2,-102.2,June,F1
204,34.53,-103.3,April,F0
205,42.25,-83.22,July,F2
206,33.95,-90.17,June,F2
207,34.75,-92.58,April,F2
208,34.9,-92.37,April,F0
209,42.03,-101.93,June,F1
210,42.12,-101.83,June,F1
211,41.9,-99.53,June,F1
212,33.95,-88.62,June,F2
213,40.17,-102.2,August,F0
214,40.2,-104.82,August,F1
215,40.02,-105.22,October,F2
216,42.67,-102.47,June,F1
217,39.98,-104.05,July,F1
218,40.08,-104.92,July,F1
219,40.07,-104.83,August,F0
220,32.4,-87.02,September,F2
221,39.12,-93.48,May,F2
222,38.67,-93.42,May,F3
223,38.52,-93.5,May,F1
224,38.57,-92.8,May,F2
225,38.73,-92.43,May,F2
226,40.7,-97.43,July,F0
227,40.73,-77.32,April,F2
228,41.13,-76.08,May,F0
229,40.4,-79.38,May,F2
230,33.85,-79.72,June,F1
231,47.97,-92.5,June,F1
232,45.0,-71.42,August,F0
233,38.73,-92.42,May,F2
234,38.87,-92.17,May,F2
235,38.75,-92.13,May,F1
236,38.87,-91.33,May,F2
237,38.83,-91.3,May,F2
238,47.25,-101.97,June,F0
239,47.93,-102.17,June,F1
240,39.23,-84.47,June,F1
241,48.32,-102.53,July,F1
242,48.17,-100.27,July,F0
243,46.5,-97.62,July,F1
244,38.87,-82.62,June,F1
245,38.83,-82.62,June,F1
246,38.83,-82.58,June,F1
247,40.57,-81.08,June,F1
248,40.37,-80.78,June,F1
249,41.52,-84.08,June,F1
250,40.63,-81.78,June,F1
251,40.58,-81.6,June,F1
252,40.85,-82.68,June,F1
253,48.15,-104.52,July,
254,36.03,-99.0,October,F1
255,30.2,-93.02,August,F1
256,48.68,-97.65,June,F0
257,47.92,-100.92,June,F0
258,41.72,-80.2,July,F1
259,34.67,-98.35,September,F1
260,36.05,-95.6,September,F2
261,35.13,-94.55,April,F3
262,36.87,-96.0,April,F2
263,32.0,-92.67,May,F1
264,30.62,-91.48,May,F1
265,30.05,-90.55,May,F1
266,47.93,-96.38,July,F2
267,47.95,-96.32,July,F2
268,44.32,-96.78,May,F0
269,45.33,-98.1,May,F0
270,45.33,-98.1,May,F0
271,45.33,-98.1,May,F0
272,45.33,-98.1,May,F0
273,45.33,-98.1,May,F0
274,45.33,-98.1,May,F0
275,45.15,-98.1,May,F0
276,31.83,-93.5,October,F3
277,35.67,-83.77,March,F1
278,35.85,-86.38,March,F2
279,35.58,-86.7,April,F0
280,35.8,-86.52,April,F1
281,35.12,-84.78,April,F1
282,35.25,-84.33,April,F2
283,42.75,-96.82,May,F0
284,45.08,-98.5,May,F0
285,45.33,-98.5,May,F0
286,44.68,-98.4,May,F0
287,34.95,-78.53,August,F0
288,35.32,-112.88,May,F1
289,35.88,-92.6,April,F1
290,35.03,-94.05,April,F2
291,34.9,-92.43,April,F2
292,34.98,-92.22,April,F2
293,35.13,-93.7,April,F2
294,35.17,-92.77,April,F1
295,35.03,-92.1,April,F2
296,35.45,-93.5,April,F3
297,34.85,-93.4,April,F2
298,31.4,-86.6,May,F1
299,31.5,-86.35,May,F1
300,31.23,-86.25,May,F1
301,31.28,-86.2,May,F1
302,44.3,-85.47,July,F0
303,44.23,-85.28,July,F0
304,41.67,-97.57,June,F0
305,33.33,-85.8,June,F2
306,34.0,-86.02,June,F2
307,42.22,-98.02,October,F2
308,42.42,-98.23,October,F1
309,42.03,-85.82,June,F1
310,42.57,-85.05,July,F1
311,35.13,-94.37,April,F2
312,42.58,-99.93,June,F0
313,30.6,-88.08,May,F2
314,31.73,-85.58,May,F2
315,39.52,-76.17,June,F2
316,32.07,-90.27,April,F2
317,33.3,-88.6,April,F2
318,40.25,-99.37,August,F2
319,34.4,-103.13,June,F1
320,35.05,-106.82,August,F0
321,40.85,-98.3,June,F2
322,35.08,-91.9,April,F2
323,30.83,-89.63,May,F2
324,30.23,-89.45,May,F3
325,30.38,-89.18,May,F3
326,30.45,-88.92,May,F2
327,30.48,-88.88,May,F2
328,30.9,-88.65,May,F3
329,37.85,-92.42,April,F2
330,37.87,-92.4,April,F2
331,38.78,-90.33,April,F3
332,38.83,-90.28,April,F3
333,45.67,-94.68,September,F0
334,45.53,-94.22,September,F3
335,42.65,-96.98,May,F2
336,38.07,-75.57,April,F1
337,39.38,-79.48,June,F3
338,45.63,-94.88,September,F2
339,32.03,-91.88,May,F1
340,41.23,-97.02,May,F1
341,40.48,-97.48,May,F0
342,41.38,-96.9,May,F1
343,40.17,-97.6,May,F1
344,41.45,-96.83,May,F1
345,42.57,-96.82,May,F0
346,41.27,-102.35,May,F1
347,42.27,-78.67,June,F1
348,42.43,-98.23,October,F1
349,42.77,-97.62,October,F1
350,43.07,-84.9,June,F1
351,43.23,-77.18,June,F1
352,35.0,-92.63,September,F2
353,33.47,-94.0,October,F2
354,33.58,-94.02,October,F2
355,33.47,-91.85,October,F2
356,30.48,-90.18,April,F0
357,33.33,-91.45,October,F2
358,35.1,-93.45,July,F0
359,42.23,-102.68,August,F2
360,31.58,-90.6,October,F2
361,31.7,-89.22,October,F2
362,29.95,-90.48,April,F2
363,40.83,-98.28,June,F1
364,40.83,-98.23,June,F1
365,42.03,-98.18,May,F1
366,42.33,-98.75,May,F1
367,42.47,-98.7,May,F0
368,37.33,-96.75,October,F3
369,35.35,-77.97,June,F0
370,35.45,-77.97,July,F0
371,34.97,-78.53,July,F1
372,39.68,-99.32,July,F0
373,35.1,-80.43,May,F2
374,34.48,-79.08,May,F1
375,35.47,-77.05,May,F1
376,39.53,-85.97,June,F1
377,33.47,-80.4,July,F1
378,33.48,-80.38,July,F1
379,43.32,-96.45,May,F0
380,41.53,-90.6,June,F1
381,47.67,-97.9,May,F1
382,47.67,-97.45,May,F1
383,47.88,-103.38,June,F0
384,41.37,-94.93,July,F1
385,26.75,-80.93,May,F1
386,26.75,-81.43,May,F1
387,26.93,-82.05,May,F1
388,26.68,-81.88,May,F1
389,25.7,-80.38,June,F0
390,30.55,-87.18,June,F0
391,30.73,-86.75,June,F0
392,48.57,-101.28,June,F0
393,38.83,-99.15,October,F0
394,39.5,-82.95,July,F1
395,38.52,-82.65,July,F1
396,43.58,-98.53,June,F0
397,43.35,-98.17,June,F0
398,45.17,-97.53,June,F0
399,43.32,-93.63,September,F2
400,43.43,-93.5,September,F2
401,42.17,-93.73,October,F1
402,45.95,-102.2,June,
403,45.95,-102.2,June,
404,45.95,-102.2,June,
405,45.93,-102.18,June,
406,45.93,-102.18,June,
407,44.75,-99.2,June,F0
408,44.75,-99.2,June,F0
409,44.75,-99.2,June,F0
410,44.7,-100.07,June,F0
411,46.28,-99.87,May,F1
412,48.48,-102.42,May,F0
413,41.12,-84.57,July,F1
414,40.67,-82.85,July,F2
415,45.15,-98.55,July,
416,31.93,-82.82,June,F1
417,38.88,-98.95,October,F0
418,29.53,-82.4,October,F1
419,25.65,-80.42,November,F0
420,26.27,-80.2,November,F0
421,46.28,-102.55,August,F1
422,39.8,-84.02,August,F1
423,39.9,-82.42,August,F1
424,39.05,-95.57,May,F2
425,38.97,-95.1,May,F2
426,38.97,-95.03,May,F2
427,39.1,-100.12,May,F0
428,39.1,-99.95,May,F0
429,39.38,-98.6,May,F0
430,34.3,-83.63,June,F1
431,46.72,-97.13,August,F0
432,40.87,-81.85,May,F1
433,40.0,-82.67,June,F1
434,40.23,-82.7,June,F1
435,40.48,-84.55,June,F1
436,46.38,-96.8,August,F0
437,40.68,-92.08,June,F1
438,41.57,-91.17,June,F1
439,46.02,-102.63,June,F1
440,46.42,-102.4,June,F0
441,46.43,-101.85,June,F0
442,46.88,-102.32,June,F0
443,46.65,-101.95,June,F0
444,47.02,-102.78,June,F0
445,39.85,-85.73,August,F2
446,46.25,-99.9,May,F1
447,37.15,-100.47,May,F1
448,37.47,-100.52,May,F1
449,36.45,-95.2,April,F3
450,41.88,-88.33,June,F0
451,40.87,-88.77,June,F2
452,40.65,-88.23,June,F2
453,41.45,-80.22,August,F1
454,29.48,-81.67,June,F1
455,30.25,-85.92,May,F1
456,27.35,-82.17,May,F0
457,25.92,-80.28,May,F1
458,29.67,-82.05,May,F1
459,30.25,-83.23,May,F1
460,29.37,-81.92,May,F1
461,40.22,-86.17,June,F1
462,39.8,-88.28,June,F2
463,39.18,-96.3,May,F1
464,35.55,-77.03,October,F1
465,41.55,-76.78,March,F1
466,26.47,-80.08,April,F0
467,27.2,-80.83,April,F0
468,24.67,-81.42,April,F2
469,26.8,-80.05,May,F0
470,26.68,-81.88,May,F1
471,30.5,-87.22,May,F0
472,38.58,-98.6,May,F0
473,38.73,-98.4,May,F1
474,31.93,-81.3,August,F1
475,34.53,-99.45,May,F0
476,40.02,-77.07,June,F2
477,39.93,-77.02,June,F3
478,40.13,-76.22,June,F1
479,40.65,-78.65,June,F0
480,40.65,-78.65,June,F2
481,41.55,-80.1,June,F0
482,39.83,-79.63,June,F0
483,40.53,-79.47,June,F2
484,34.63,-99.33,May,F2
485,35.72,-95.37,May,F0
486,32.45,-83.93,March,F1
487,32.47,-83.83,March,F1
488,32.5,-83.65,March,F1
489,32.33,-83.68,March,F1
490,32.83,-83.07,March,F1
491,32.35,-83.42,March,F1
492,31.38,-84.57,April,F1
493,31.5,-82.85,April,F1
494,34.87,-99.0,June,F0
495,40.67,-89.57,September,F0
496,42.68,-95.63,August,F1
497,43.25,-94.85,August,F1
498,39.63,-88.72,April,F2
499,40.55,-88.67,April,F0
500,40.52,-89.0,May,F1
501,40.48,-89.0,May,F0
502,40.75,-88.18,May,F0
503,40.77,-88.15,May,F0
504,32.92,-84.78,April,F1
505,33.22,-84.52,April,F1
506,33.27,-84.5,April,F1
507,33.38,-84.42,April,F1
508,34.1,-82.87,July,F1
509,42.83,-94.83,July,F2
510,43.02,-95.62,July,F2
511,42.87,-95.93,July,F1
512,43.02,-94.42,July,F2
513,39.47,-82.75,July,F1
514,33.95,-83.38,April,F0
515,32.13,-81.32,April,F1
516,32.15,-81.3,April,F1
517,33.83,-84.77,April,F1
518,32.8,-84.83,April,F1
519,38.88,-98.85,May,F1
520,38.85,-97.6,May,F1
521,40.18,-85.13,April,F1
522,41.68,-85.58,April,F1
523,40.32,-85.23,April,F2
524,35.4,-97.5,March,F0
525,35.62,-96.3,March,F0
526,39.83,-84.9,April,F0
527,39.78,-85.68,April,F0
528,39.97,-89.17,September,F0
529,39.93,-89.07,September,F0
530,41.48,-87.72,September,F0
531,40.92,-91.4,July,F1
532,40.87,-91.3,July,F1
533,40.92,-91.37,July,F1
534,40.82,-91.08,July,F1
535,43.18,-93.6,June,F1
536,32.9,-84.35,March,F1
537,43.15,-95.15,September,F3
538,40.03,-86.9,July,F0
539,39.62,-85.48,July,F4
540,38.67,-98.23,May,F0
541,38.42,-86.12,June,F1
542,40.0,-85.73,June,F1
543,42.92,-94.12,September,F2
544,42.93,-94.0,September,F2
545,38.55,-86.47,June,F1
546,38.67,-86.45,June,F1
547,38.38,-85.47,September,F1
548,36.25,-86.6,May,F1
549,36.33,-86.45,May,F1
550,37.0,-100.97,August,F1
551,31.28,-83.05,April,F1
552,43.18,-93.2,May,F2
553,40.15,-80.28,May,F1
554,40.65,-79.73,June,F4
555,40.62,-79.7,June,F4
556,40.6,-79.55,June,F4
557,35.65,-85.88,June,F1
558,35.0,-85.2,June,F0
559,35.02,-86.82,June,F2
560,36.38,-86.53,July,F2
561,36.58,-83.25,July,F2
562,35.0,-85.73,July,F1
563,31.77,-84.8,March,F1
564,32.68,-82.52,March,F1
565,43.38,-94.1,September,F0
566,43.4,-94.08,September,F0
567,48.83,-99.73,July,F0
568,36.4,-76.93,February,F0
569,35.62,-77.6,February,F0
570,35.02,-78.57,February,F0
571,36.27,-77.28,March,F1
572,47.35,-102.4,June,F0
573,47.23,-102.33,June,F1
574,36.15,-80.3,April,F1
575,34.13,-78.1,April,F0
576,44.12,-97.22,May,F1
577,48.43,-101.37,June,F1
578,48.55,-100.4,June,F0
579,48.32,-100.98,June,F0
580,47.53,-102.93,June,F0
581,47.37,-102.77,June,F1
582,35.62,-99.6,May,F1
583,28.67,-81.38,June,F0
584,30.17,-85.67,June,F1
585,30.17,-82.98,June,F1
586,30.12,-83.17,June,F1
587,41.52,-87.13,May,F1
588,39.78,-86.25,June,F0
589,41.47,-90.72,September,F0
590,36.5,-95.08,April,F3
591,36.57,-95.0,April,F3
592,36.67,-94.88,April,F3
593,28.92,-82.45,July,F1
594,28.63,-80.75,July,F0
595,26.93,-82.05,August,F1
596,30.33,-81.75,August,F1
597,27.98,-82.53,August,F1
598,25.6,-80.35,August,F1
599,30.28,-85.63,August,F0
600,29.1,-82.23,August,F1
601,27.48,-82.57,September,F1
602,25.98,-80.22,September,F1
603,38.82,-99.25,October,F3
604,41.55,-86.48,June,F1
605,40.42,-86.87,June,F2
606,40.37,-85.95,June,F2
607,27.5,-81.8,September,F1
608,39.52,-104.27,June,F1
609,36.93,-76.18,April,F1
610,38.6,-78.12,April,F1
611,37.57,-77.45,April,F0
612,37.55,-76.53,May,F1
613,39.0,-77.67,June,F2
614,30.75,-86.6,October,F1
615,44.07,-87.88,July,F1
616,43.53,-89.32,July,F1
617,43.43,-89.25,July,F1
618,38.63,-102.68,March,F1
619,42.87,-88.25,July,F1
620,43.48,-88.97,April,F3
621,45.28,-92.42,May,F0
622,44.77,-88.68,May,F1
623,30.63,-87.03,April,F0
624,36.07,-102.0,May,F1
625,37.22,-77.37,July,F0
626,35.32,-112.75,May,F1
627,47.13,-118.38,May,F0
628,48.47,-117.88,August,F1
629,38.23,-81.58,July,F1
630,43.17,-88.02,August,F2
631,40.13,-87.4,June,F2
632,40.08,-87.07,June,F3
633,39.78,-86.15,June,F2
634,44.3,-91.25,April,F0
635,43.77,-88.45,August,F1
636,44.93,-90.87,July,F1
637,44.7,-91.48,July,F1
638,41.25,-104.07,July,
639,41.38,-105.07,July,
640,42.73,-110.92,July,
641,41.75,-104.83,July,
642,32.33,-83.62,March,F1
643,39.5,-79.87,June,F3
644,46.12,-90.63,July,F1
645,43.92,-89.87,July,F2
646,45.62,-94.47,September,F0
647,31.07,-91.15,October,F1
648,44.92,-91.25,July,F0
649,41.6,-87.05,June,F0
650,41.72,-86.9,June,F1
651,44.68,-104.63,June,F1
652,43.3,-104.3,June,F0
653,41.1,-104.27,June,F1
654,44.83,-91.52,July,F3
655,44.77,-91.27,July,F1
656,44.87,-91.48,July,F2
657,41.18,-104.82,May,F0
658,40.03,-77.02,June,F2
659,42.67,-104.18,July,
660,42.67,-104.18,July,
661,43.23,-108.12,August,F1
662,44.92,-91.45,July,F0
663,44.92,-91.43,July,F1
664,45.08,-92.17,July,F2
665,45.08,-92.15,July,F2
666,44.62,-91.18,July,F2
667,41.07,-104.82,May,F0
668,42.9,-106.22,May,F0
669,41.03,-104.65,May,F0
670,41.17,-104.37,May,F1
671,37.7,-81.2,July,F1
672,42.12,-88.53,July,F2
673,38.78,-84.92,April,F1
674,38.95,-84.67,April,F2
675,31.78,-94.43,April,F0
676,31.78,-94.33,April,F1
677,38.2,-84.57,July,F1
678,38.18,-84.48,July,F1
679,37.85,-84.78,July,F1
680,37.87,-84.77,July,F1
681,37.57,-84.87,July,F1
682,37.85,-83.95,July,F1
683,38.42,-82.6,July,F1
684,38.68,-83.05,July,F2
685,38.43,-82.77,July,F2
686,33.42,-101.67,June,F0
687,33.03,-101.68,June,F1
688,31.4,-94.73,June,F0
689,31.03,-94.17,June,F1
690,30.23,-94.1,June,F1
691,30.13,-94.32,June,F1
692,30.13,-94.28,June,F1
693,31.22,-101.45,June,F0
694,33.1,-101.92,June,F1
695,33.12,-101.92,June,F1
696,29.9,-97.87,August,F2
697,29.9,-98.08,August,F2
698,28.83,-99.02,August,F0
699,28.88,-99.08,August,F0
700,30.1,-98.42,August,F2
701,27.77,-97.62,August,F1
702,28.13,-97.87,August,F1
703,29.37,-98.3,August,F0
