,BEGIN_LAT,BEGIN_LON,MONTH_NAME,TOR_F_SCALE
197,29.57,-90.53,March,F1
198,33.37,-87.23,April,F2
199,32.4,-101.02,March,F0
200,42.18,-98.1,April,F0
201,42.1,-97.83,April,F0
202,37.07,-99.35,March,F1
203,33.07,-94.63,April,F2
204,32.83,-89.12,April,F0
205,33.83,-95.27,April,F2
206,32.15,-96.1,March,F0
207,38.6,-109.55,April,F0
208,39.83,-96.07,April,F0
209,32.05,-87.78,January,F1
210,35.53,-86.4,April,F1
211,33.37,-98.77,April,F0
212,33.1,-98.38,April,F0
213,33.32,-98.6,April,F0
214,33.07,-94.6,April,F2
215,42.63,-98.65,April,F0
216,26.1,-80.2,April,F0
217,26.52,-80.03,April,F0
218,26.52,-80.03,April,F0
219,31.73,-101.65,March,F0
220,30.62,-92.43,April,F1
221,29.93,-93.37,April,F1
222,33.02,-98.65,April,F0
223,39.9,-86.47,May,F0
224,37.55,-95.08,April,F2
225,31.2,-101.12,April,F0
226,45.0,-95.72,April,F0
227,30.0,-93.48,April,F0
228,33.05,-98.6,April,F0
229,37.35,-95.05,April,F2
230,25.67,-80.22,February,F0
231,44.95,-95.62,April,F0
232,34.03,-94.98,April,F2
233,32.48,-94.57,April,F1
234,35.85,-77.07,February,F0
235,36.6,-85.23,April,F0
236,37.78,-85.12,April,F1
237,42.48,-98.47,April,F1
238,34.18,-84.43,April,F1
239,35.27,-77.58,February,F0
240,33.02,-86.42,April,F0
241,32.47,-94.5,April,F2
242,32.15,-94.55,April,F1
243,33.05,-94.38,April,F3
244,33.18,-94.43,April,F2
245,33.95,-84.05,April,F1
246,31.17,-97.5,March,F0
247,32.48,-94.2,April,F1
248,32.97,-94.4,April,F1
249,31.57,-103.02,March,F0
250,37.67,-94.93,April,F2
251,31.05,-82.93,April,F0
252,45.87,-122.82,April,F0
253,39.95,-88.85,April,F1
254,40.1,-88.55,April,F0
255,40.4,-89.42,April,F0
256,36.53,-83.82,April,F0
257,31.27,-101.97,March,F0
258,34.33,-95.65,April,F2
259,34.3,-95.37,April,F2
260,34.95,-94.9,April,F0
261,36.75,-88.27,May,F1
262,36.6,-88.23,May,F0
263,38.7,-76.65,April,F1
264,31.12,-814.05,April,F0
265,32.05,-85.52,January,F0
266,30.37,-92.48,April,F0
267,33.93,-94.47,April,F1
268,33.9,-94.43,April,F1
269,33.97,-94.42,April,F1
270,30.08,-93.2,April,F1
271,30.3,-92.73,April,F1
272,30.45,-92.17,April,F1
273,41.3,-89.8,May,F0
274,41.82,-73.97,May,F2
275,41.4,-90.15,May,F0
276,42.3,-104.7,May,F0
277,42.53,-91.78,May,F0
278,35.75,-96.23,May,F0
279,35.73,-87.42,May,F2
280,35.67,-87.27,May,F1
281,35.6,-87.17,May,F1
282,41.88,-94.12,May,F0
283,41.83,-93.93,May,F0
284,41.77,-93.88,May,F0
285,29.6,-90.72,March,F2
286,33.98,-99.68,April,F0
287,41.67,-93.53,May,F1
288,41.18,-83.8,May,F0
289,32.02,-101.33,March,F0
290,32.3,-92.45,April,F1
291,33.77,-93.57,April,F0
292,32.82,-93.75,April,F2
293,32.93,-86.75,April,F0
294,33.48,-87.12,April,F0
295,41.73,-73.92,May,F0
296,33.12,-93.8,April,F1
297,33.77,-87.63,April,F1
298,32.25,-93.18,April,F2
299,32.43,-94.05,April,F3
300,31.87,-102.62,March,F0
301,33.1,-87.7,March,F0
302,37.07,-95.95,April,F0
303,37.1,-95.9,April,F0
304,41.72,-83.7,May,F1
305,40.12,-89.42,April,F0
306,32.32,-93.55,April,F3
307,32.52,-93.73,April,F1
308,33.25,-99.08,April,F1
309,31.87,-94.18,May,F1
310,34.02,-100.37,April,F0
311,30.48,-90.95,April,F1
312,33.98,-99.82,April,F0
313,33.83,-93.95,April,F0
314,37.07,-90.02,May,F1
315,42.15,-91.62,May,F1
316,37.03,-89.53,May,F0
