,BEGIN_LAT,BEGIN_LON,MONTH_NAME,TOR_F_SCALE
0,35.12,-99.2,April,F3
1,31.9,-98.6,April,F1
2,40.58,-75.7,July,F2
3,40.6,-76.75,July,F2
4,41.63,-79.68,July,F0
5,40.22,-75.0,August,F1
6,40.2,-76.12,November,F3
7,40.27,-76.07,November,F3
8,35.0,-96.25,September,F2
9,34.83,-95.85,September,F0
10,36.73,-102.52,October,F1
11,40.18,-98.03,June,F0
12,35.55,-97.6,February,F2
13,34.85,-95.75,March,F2
14,35.82,-97.02,April,F2
15,36.13,-95.83,April,F1
16,34.88,-99.28,April,F3
17,35.0,-99.2,April,F3
18,35.08,-96.4,April,F4
19,34.55,-96.2,April,F2
20,35.58,-99.17,May,F1
21,35.25,-99.55,May,F2
22,36.57,-99.57,May,F2
23,36.3,-99.8,May,F1
24,36.0,-97.0,May,F1
25,36.12,-97.83,May,F2
26,32.3,-90.12,March,F2
27,32.3,-90.17,March,F2
28,33.67,-88.78,March,F2
29,34.73,-88.27,March,F1
30,31.27,-89.83,April,F2
31,26.88,-98.12,January,F2
32,29.67,-95.05,February,F3
33,32.35,-95.2,February,F2
34,32.98,-94.63,February,F2
35,33.33,-94.42,February,F2
36,32.08,-98.35,February,F1
37,31.52,-96.55,February,F2
38,31.8,-94.2,February,F1
39,31.8,-94.2,February,F3
40,32.42,-99.5,April,F4
41,36.4,-100.8,May,F2
42,29.53,-95.45,May,F1
43,29.78,-98.83,May,F2
44,35.28,-103.52,July,F1
45,34.12,-107.23,August,F1
46,31.73,-91.07,May,F1
47,31.55,-91.38,May,
48,33.08,-89.58,June,F3
49,34.48,-92.4,February,F2
50,33.27,-92.95,February,F2
51,34.12,-93.07,March,F2
52,38.77,-90.22,January,F3
53,38.0,-92.22,June,F1
54,39.7,-92.07,June,F1
55,38.42,-92.77,July,F1
56,33.17,-90.55,March,F2
57,33.13,-89.57,March,F2
58,32.28,-90.27,March,F2
59,32.28,-90.27,March,F2
60,34.77,-96.83,May,F1
